ko,cmdidT4Drop,T4 스캐폴딩 템플릿 추가
ko,Command1Id,EF Core DbContext 생성...
pl,cmdidAbout,O...
pl,cmdidCmdAnalyze,EF Core Power Tools - Analyze (experimental)
pl,cmdidCmdDatabase,EF Core Power Tools - Engenharia Reversa
pl,cmdidCmdDiagram,EF Core Power Tools - ER Diagram
pl,cmdidDacpacReport,Analyze (preview)
pl,cmdidDbCompare,Porównaj DbContext z bazą danych
pl,cmdidDbDgml,Wizualizuj schemat bazy danych (wersja zapoznawcza)
pl,cmdidDbErDiagram,ER Diagram
pl,cmdidDebugViewBuild,Wyświetl DbContext jako DebugView
pl,cmdidDgmlBuild,Dodaj diagram DbContext
pl,cmdidDgmlNuget,Dodaj rozszerzenie AsDgml()
pl,cmdidOptions,Opcje
pl,cmdidReverseEngineerCodeFirst,Inżynieria wsteczna
pl,cmdidReverseEngineerEdit,EF Core Power Tools - Edycja
pl,cmdidReverseEngineerRefresh,EF Core Power Tools - Odśwież
pl,cmdidReverseEngineerRefresh,Refresh
pl,cmdidSqlBuild,Wyświetl DDL SQL dla DbContext
pl,cmdidT4Drop,Dodaj szablony T4
pl,Command1Id,Utwórz DbContext do EF Core...
pt-br,cmdidAbout,Sobre
pt-br,cmdidCmdAnalyze,EF Core Power Tools - Analyze (experimental)
pt-br,cmdidCmdDatabase,EF Core Power Tools - Engenharia Reversa
pt-br,cmdidCmdDiagram,EF Core Power Tools - ER Diagram
pt-br,cmdidDacpacReport,Analyze (preview)
pt-br,cmdidDbCompare,Comparar DbContext com database
pt-br,cmdidDbDgml,Visualizar Database Schema (visualização antecipada)
pt-br,cmdidDbErDiagram,ER Diagram
pt-br,cmdidDebugViewBuild,Visualizar DbContext como DebugView
pt-br,cmdidDgmlBuild,Adicionar diagrama DbContext
pt-br,cmdidDgmlNuget,Adicionar extensão AsDgml()
pt-br,cmdidOptions,Opções
pt-br,cmdidReverseEngineerCodeFirst,Engenharia Reversa
pt-br,cmdidReverseEngineerEdit,EF Core Power Tools - Editar
pt-br,cmdidReverseEngineerRefresh,EF Core Power Tools - Atualizar
pt-br,cmdidReverseEngineerRefresh,Refresh
pt-br,cmdidSqlBuild,Visualizar DbContext DDL SQL
pt-br,cmdidT4Drop,Adicionar modelos de Scaffolding em T4  
pt-br,Command1Id,Criar o EF Core DbContext...
ru,cmdidAbout,О программе
ru,cmdidCmdAnalyze,EF Core Power Tools - Analyze (experimental)
ru,cmdidCmdDatabase,EF Core Power Tools - реконструировать
ru,cmdidCmdDiagram,EF Core Power Tools - ER Diagram
ru,cmdidDacpacReport,Analyze (preview)
ru,cmdidDbCompare,Сравнить контекст БД с базой данных
ru,cmdidDbDgml,Диаграмма схемы базы данных (предварительная версия)
ru,cmdidDbErDiagram,ER Diagram
ru,cmdidDebugViewBuild,Просмотр класса контекста БД как DebugView
ru,cmdidDgmlBuild,Добавить диаграмму контекста БД
ru,cmdidDgmlNuget,Добавьте расширение AsDgml()
ru,cmdidOptions,Параметры
ru,cmdidReverseEngineerCodeFirst,Реконструировать
ru,cmdidReverseEngineerEdit,EF Core Power Tools - Редактировать
ru,cmdidReverseEngineerRefresh,EF Core Power Tools - Обновить
ru,cmdidReverseEngineerRefresh,Refresh
ru,cmdidSqlBuild,Просмотр SQL выражений описания данных для контекста БД
ru,cmdidT4Drop,Добавьте шаблоны генерации T4
ru,Command1Id,Создать класс EF Core контекст БД...
tr,cmdidAbout,Hakkında
tr,cmdidCmdAnalyze,EF Core Power Tools - Analyze (experimental)
tr,cmdidCmdDatabase,EF Core Power Tools - Ters Mühendislik
tr,cmdidCmdDiagram,EF Core Power Tools - ER Diagram
tr,cmdidDacpacReport,Analyze (preview)
tr,cmdidDbCompare,DbContext'i veritabanı ile karşılaştır
tr,cmdidDbDgml,Visualize Database Schema (preview)
tr,cmdidDbErDiagram,ER Diagram
tr,cmdidDebugViewBuild,DbContext'i DebugView olarak göster
tr,cmdidDgmlBuild,DbContext diagramı ekle
tr,cmdidDgmlNuget,AsDgml() eklentisini ekle
tr,cmdidOptions,Seçenekler
tr,cmdidReverseEngineerCodeFirst,Ters mühendislik
tr,cmdidReverseEngineerEdit,EF Core Power Tools - Düzenle
tr,cmdidReverseEngineerRefresh,EF Core Power Tools - Yenile
tr,cmdidReverseEngineerRefresh,Refresh
tr,cmdidSqlBuild,DbContext DDL SQL göster
tr,cmdidT4Drop,T4 Scaffolding Şablonları Ekle
tr,Command1Id,Create EF Core DbContext...
zh-Hans,cmdidAbout,关于
zh-Hans,cmdidCmdAnalyze,EF Core Power Tools - Analyze (experimental)
zh-Hans,cmdidCmdDatabase,EF Core 工具 - 反向工程
zh-Hans,cmdidCmdDiagram,EF Core Power Tools - ER Diagram
zh-Hans,cmdidDacpacReport,Analyze (preview)
zh-Hans,cmdidDbCompare,架构比较
zh-Hans,cmdidDbDgml,数据库架构可视化 (预览)
zh-Hans,cmdidDbErDiagram,ER Diagram
zh-Hans,cmdidDebugViewBuild,生成调试视图
zh-Hans,cmdidDgmlBuild,生成关系图
zh-Hans,cmdidDgmlNuget,安装Dgml包
zh-Hans,cmdidOptions,配置
zh-Hans,cmdidReverseEngineerCodeFirst,反向工程
zh-Hans,cmdidReverseEngineerEdit,EF Core 工具 - 编辑
zh-Hans,cmdidReverseEngineerRefresh,EF Core 工具 - 刷新
zh-Hans,cmdidReverseEngineerRefresh,Refresh
